# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       176.93450    0.0099802381       2800.5848
3.000       180.95574    0.0090357918       2712.3988
3.000       184.97698    0.0086760532       2781.9254
3.000       188.99821    0.0089906864       3074.9369
3.000       193.01945    0.0083938860       3057.9935
3.000       197.04069    0.0074476944       2886.4223
3.000       201.06193    0.0077435202       3188.5867
3.000       205.08317    0.0077342162       3379.6881
3.000       209.10441    0.0075432017       3493.9407
3.000       213.12565    0.0070473178       3456.2190
3.000       217.14688    0.0069626622       3611.6561
3.000       221.16812    0.0065264815       3576.9837
3.000       225.18936    0.0064904296       3754.8043
3.000       229.21060    0.0063463908       3871.6952
3.000       233.23184    0.0061511136       3953.5525
3.000       237.25308    0.0064567331       4368.3624
3.000       241.27432    0.0059394296       4226.1828
3.000       245.29555    0.0057360961       4288.9967
3.000       249.31679    0.0052189980       4097.4342
3.000       253.33803    0.0056940337       4690.2011
3.000       257.35927    0.0054457271       4702.6817
3.000       265.40175    0.0059256094       5611.9606
3.000       273.44422    0.0044007348       4558.2876
3.000       281.48670    0.0042611661       4814.7348
3.000       289.52918    0.0035545638       4370.5248
3.000       297.57166    0.0045627490       6090.7605
3.000       305.61413    0.0047238368       6831.0182
3.000       313.65661    0.0039288499       6141.8476
3.000       321.69909    0.0039797539       6712.3711
3.000       329.74156    0.0041603870       7556.5763
3.000       337.78404    0.0042935879       8383.1647
3.000       345.82652    0.0031305968       6559.5232
3.000       353.86900    0.0043797064       9832.0211
3.000       361.91147    0.0038780681       9313.0673
3.000       369.95395    0.0036418774       9341.9725
3.000       377.99643    0.0038581172       10556.228
3.000       386.03891    0.0033288929       9702.0455
3.000       394.08138    0.0036105221       11194.328
3.000       402.12386    0.0027006498       8896.4768
3.000       410.16634    0.0025736154       8996.9219
3.000       418.20881    0.0030475621       11292.819
3.000       426.25129    0.0034292447       13454.447
3.000       434.29377    0.0029825157       12376.670
3.000       442.33625    0.0025083949       10998.254
3.000       450.37872    0.0031666913       14655.802
3.000       458.42120    0.0026229975       12801.540
3.000       466.46368    0.0019431064       9991.2616
3.000       474.50615    0.0028231397       15280.170
3.000       482.54863    0.0024983252       14221.405
3.000       490.59111    0.0022704451       13581.267
3.000       498.63359    0.0023902306       15012.556
3.000       506.67606    0.0024430174       16098.595
3.000       514.71854    0.0029555546       20418.257
2.750     0.015707963       1238.7744   0.00024323279
2.750     0.031415927       2926.7941    0.0045973975
2.750     0.047123890       1483.1725    0.0078629465
2.750     0.062831853       1261.3305     0.015850347
2.750     0.078539816       939.48176     0.023058352
2.750     0.094247780       703.08742     0.029818993
2.750      0.10995574       578.37818     0.038952552
2.750      0.12566371       525.08464     0.052787266
2.750      0.14137167       373.11484     0.053407216
2.750      0.15707963       321.02809     0.063033719
2.750      0.17278760       284.06654     0.074238301
2.750      0.18849556       259.35733     0.087997868
2.750      0.20420352       225.45541     0.097256943
2.750      0.21991149       200.11393      0.10781801
2.750      0.23561945       175.98864      0.11662410
2.750      0.25132741       163.17978      0.13123696
2.750      0.26703538       139.95245      0.13500727
2.750      0.28274334       126.18067      0.14449082
2.750      0.29845130       113.56681      0.15294741
2.750      0.31415927       102.89417      0.16162578
2.750      0.32986723       94.184940      0.17126524
2.750      0.34557519       84.943541      0.17759400
2.750      0.36128316       80.681282      0.19274636
2.750      0.37699112       73.148650      0.19855002
2.750      0.39269908       68.289018      0.20950808
2.750      0.40840704       64.883666      0.22391610
2.750      0.42411501       60.090521      0.23223472
2.750      0.43982297       56.610094      0.24400451
2.750      0.45553093       52.773682      0.25272097
2.750      0.47123890       49.926389      0.26468164
2.750      0.48694686       45.927677      0.26865161
2.750      0.50265482       44.125844      0.28390488
2.750      0.51836279       41.495088      0.29279820
2.750      0.53407075       39.536556      0.30511635
2.750      0.54977871       37.759712      0.31787963
2.750      0.56548668       36.235141      0.33194593
2.750      0.58119464       34.068822      0.33883806
2.750      0.59690260       32.284752      0.34783889
2.750      0.61261057       30.870035      0.35955127
2.750      0.62831853       29.454290      0.37013352
2.750      0.64402649       28.112479      0.38043512
2.750      0.65973446       26.572461      0.38655344
2.750      0.67544242       26.054519      0.40674135
2.750      0.69115038       24.955859      0.41740769
2.750      0.70685835       24.343796      0.43556777
2.750      0.72256631       22.754615      0.43488345
2.750      0.73827427       22.357721      0.45577552
2.750      0.75398224       21.467429      0.46615854
2.750      0.76969020       20.929478      0.48347779
2.750      0.78539816       20.031783      0.49165392
2.750      0.80110613       19.321341      0.50324293
2.750      0.81681409       18.729297      0.51708437
2.750      0.83252205       18.029936      0.52704984
2.750      0.84823002       17.470013      0.54013760
2.750      0.86393798       16.951874      0.55377797
2.750      0.87964594       16.364511      0.56428305
2.750      0.89535391       15.885893      0.57765176
2.750      0.91106187       15.585602      0.59708679
2.750      0.92676983       14.961367      0.60333318
2.750      0.94247780       14.468778      0.61364261
2.750      0.95818576       14.060334      0.62663557
2.750      0.97389372       13.871959      0.64914656
2.750      0.98960169       13.449165      0.66030846
2.750       1.0053096       13.071526      0.67281566
2.750       1.0367256       12.655867      0.71442000
2.750       1.0681415       11.636423      0.71841622
2.750       1.0995574       11.307436      0.76153199
2.750       1.1309734       10.515619      0.77065892
2.750       1.1623893       10.121231      0.80530128
2.750       1.1938052       9.8295492      0.84723574
2.750       1.2252211       9.4484767      0.88039080
2.750       1.2566371       9.0907065      0.91389750
2.750       1.2880530       8.6389767      0.93526299
2.750       1.3194689       8.2899123      0.96475644
2.750       1.3508848       8.1143289       1.0133929
2.750       1.3823008       7.7901782       1.0423781
2.750       1.4137167       7.6406390       1.0936720
2.750       1.4451326       7.1966746       1.1003358
2.750       1.4765485       6.9497658       1.1334011
2.750       1.5079645       6.8378275       1.1878503
2.750       1.5393804       6.5693387       1.2140310
2.750       1.5707963       6.4146191       1.2595075
2.750       1.6022123       6.1601178       1.2835696
2.750       1.6336282       5.9326138       1.3103158
2.750       1.6650441       5.7789712       1.3514439
2.750       1.6964600       5.6858469       1.4063594
2.750       1.7278760       5.5761875       1.4572877
2.750       1.7592919       5.3157923       1.4663983
2.750       1.7907078       5.2896552       1.5387632
2.750       1.8221237       5.1160051       1.5679594
2.750       1.8535397       4.9965135       1.6119181
