# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       104.55220     0.014738548       853.34479
3.000       106.56282     0.014293719       876.25930
3.000       108.57344     0.013387098       868.01559
3.000       110.58406     0.013790563       944.77819
3.000       112.59468     0.013974678       1010.5684
3.000       114.60530     0.014145409       1078.6980
3.000       116.61592     0.014260051       1145.6841
3.000       118.62654     0.013645335       1153.9847
3.000       120.63716     0.013070348       1162.5207
3.000       122.64778     0.013118911       1226.1599
3.000       124.65840     0.012791647       1255.3399
3.000       126.66902     0.011908718       1226.1581
3.000       128.67964     0.012165843       1313.2334
3.000       132.70087     0.012119062       1434.6984
3.000       136.72211     0.013320080       1724.6198
3.000       140.74335     0.012044245       1701.1144
3.000       144.76459     0.011505856       1768.3826
3.000       148.78583     0.010767939       1796.7496
3.000       152.80707     0.010875775       1965.8971
3.000       156.82831     0.010167743       1986.8642
3.000       160.84954    0.0096704392       2038.8063
3.000       164.87078     0.010604126       2407.5552
3.000       168.89202    0.0095790945       2337.8795
3.000       172.91326    0.0097574822       2555.6002
3.000       176.93450    0.0088713266       2489.4097
3.000       180.95574    0.0091706170       2752.8712
3.000       184.97698    0.0080513049       2581.6036
3.000       188.99821    0.0082098005       2807.8633
3.000       193.01945    0.0078475211       2858.9462
3.000       197.04069    0.0079062793       3064.1511
3.000       201.06193    0.0078955875       3251.2042
3.000       205.08317    0.0080582410       3521.2801
3.000       209.10441    0.0081731352       3785.7201
3.000       213.12565    0.0073923101       3625.4137
3.000       217.14688    0.0069062976       3582.4188
3.000       221.16812    0.0075565835       4141.5541
3.000       225.18936    0.0068879998       3984.8042
3.000       229.21060    0.0068863575       4201.1087
3.000       233.23184    0.0071660817       4605.9108
3.000       237.25308    0.0063300708       4282.6678
3.000       241.27432    0.0065544779       4663.8185
3.000       245.29555    0.0055468306       4147.4790
3.000       249.31679    0.0060543369       4753.2586
3.000       253.33803    0.0059333093       4887.2936
3.000       257.35927    0.0061828495       5339.2270
3.000       265.40175    0.0056379535       5339.5306
3.000       273.44422    0.0052688041       5457.4351
3.000       281.48670    0.0051587675       5828.9437
3.000       289.52918    0.0045961651       5651.2288
3.000       297.57166    0.0050822268       6784.2054
3.000       305.61413    0.0040637156       5876.4341
3.000       313.65661    0.0041511910       6489.4264
3.000       321.69909    0.0031458784       5305.9321
3.000       329.74156    0.0039151144       7111.0839
3.000       337.78404    0.0040395674       7887.1937
3.000       345.82652    0.0042528468       8910.9679
3.000       353.86900    0.0037396023       8395.0486
3.000       361.91147    0.0035547330       8536.5875
3.000       369.95395    0.0039057159       10018.759
3.000       377.99643    0.0032895131       9000.4654
3.000       386.03891    0.0028513843       8310.3486
3.000       394.08138    0.0031732501       9838.5777
3.000       402.12386    0.0030042753       9896.6797
3.000       410.16634    0.0035265404       12328.186
3.000       418.20881    0.0033890214       12558.105
3.000       426.25129    0.0028246166       11082.223
3.000       434.29377    0.0024554709       10189.570
3.000       442.33625    0.0029374088       12879.299
3.000       450.37872    0.0026168324       12110.993
3.000       458.42120    0.0032552577       15887.286
3.000       466.46368    0.0030248277       15553.366
3.000       474.50615    0.0027072467       14652.902
3.000       482.54863    0.0026932313       15330.883
3.000       490.59111    0.0025080299       15002.443
3.000       498.63359    0.0026003749       16332.430
3.000       506.67606    0.0027946567       18415.770
3.000       514.71854    0.0030727099       21227.618
2.750     0.015707963       1206.8519   0.00023696482
2.750     0.031415927       2836.0369    0.0044548364
2.750     0.047123890       1434.4472    0.0076046321
2.750     0.062831853       1218.8468     0.015316480
2.750     0.078539816       906.02296     0.022237149
2.750     0.094247780       677.18059     0.028720245
2.750      0.10995574       557.28666     0.037532082
2.750      0.12566371       505.91017     0.050859637
2.750      0.14137167       358.84810     0.051365092
2.750      0.15707963       308.56861     0.060587305
2.750      0.17278760       273.19785     0.071397864
2.750      0.18849556       249.40073     0.084619674
2.750      0.20420352       216.50920     0.093397726
2.750      0.21991149       192.12112      0.10351162
2.750      0.23561945       169.03931      0.11201892
2.750      0.25132741       156.63896      0.12597652
2.750      0.26703538       134.24472      0.12950122
2.750      0.28274334       120.96441      0.13851762
2.750      0.29845130       108.90468      0.14666863
2.750      0.31415927       98.625408      0.15492043
2.750      0.32986723       90.239493      0.16409087
2.750      0.34557519       81.378330      0.17014011
2.750      0.36128316       77.274958      0.18460871
2.750      0.37699112       70.016206      0.19004751
2.750      0.39269908       65.360183      0.20052253
2.750      0.40840704       62.075878      0.21422631
2.750      0.42411501       57.487526      0.22217480
2.750      0.43982297       54.143078      0.23337102
2.750      0.45553093       50.436895      0.24153064
2.750      0.47123890       47.702210      0.25289029
2.750      0.48694686       43.873672      0.25663681
2.750      0.50265482       42.139643      0.27112569
2.750      0.51836279       39.614788      0.27953040
2.750      0.53407075       37.728342      0.29116178
2.750      0.54977871       36.019090      0.30322623
2.750      0.56548668       34.563324      0.31663060
2.750      0.58119464       32.473427      0.32297075
2.750      0.59690260       30.772941      0.33155050
2.750      0.61261057       29.408206      0.34252498
2.750      0.62831853       28.044755      0.35242078
2.750      0.64402649       26.762222      0.36216263
2.750      0.65973446       25.287774      0.36786491
2.750      0.67544242       24.781413      0.38686667
2.750      0.69115038       23.735588      0.39699764
2.750      0.70685835       23.142674      0.41407687
2.750      0.72256631       21.621292      0.41322351
2.750      0.73827427       21.239732      0.43298465
2.750      0.75398224       20.386939      0.44269602
2.750      0.76969020       19.867888      0.45895471
2.750      0.78539816       19.007723      0.46651972
2.750      0.80110613       18.327289      0.47735188
2.750      0.81681409       17.755702      0.49020503
2.750      0.83252205       17.083632      0.49938754
2.750      0.84823002       16.555302      0.51185655
2.750      0.86393798       16.047964      0.52424935
2.750      0.87964594       15.492249      0.53420559
2.750      0.89535391       15.033771      0.54666640
2.750      0.91106187       14.740110      0.56469585
2.750      0.92676983       14.141502      0.57027123
2.750      0.94247780       13.669331      0.57973685
2.750      0.95818576       13.283071      0.59199479
2.750      0.97389372       13.099060      0.61297830
2.750      0.98960169       12.694736      0.62326857
2.750       1.0053096       12.329519      0.63462319
2.750       1.0367256       11.929443      0.67341358
2.750       1.0681415       10.957254      0.67648526
2.750       1.0995574       10.638739      0.71649666
2.750       1.1309734       9.8860982      0.72452320
2.750       1.1623893       9.5039022      0.75618317
2.750       1.1938052       9.2235325      0.79500150
2.750       1.2252211       8.8620473      0.82574844
2.750       1.2566371       8.5174507      0.85626754
2.750       1.2880530       8.0846561      0.87525177
2.750       1.3194689       7.7536858      0.90235192
2.750       1.3508848       7.5779351      0.94640303
2.750       1.3823008       7.2714302      0.97296618
2.750       1.4137167       7.1193459       1.0190547
2.750       1.4451326       6.7023039       1.0247490
2.750       1.4765485       6.4657573       1.0544667
2.750       1.5079645       6.3613693       1.1050812
2.750       1.5393804       6.1008324       1.1274498
2.750       1.5707963       5.9497448       1.1682297
2.750       1.6022123       5.7082631       1.1894177
2.750       1.6336282       5.4907215       1.2127166
2.750       1.6650441       5.3451461       1.2499915
2.750       1.6964600       5.2566787       1.3002073
2.750       1.7278760       5.1478454       1.3453443
2.750       1.7592919       4.9035269       1.3526721
2.750       1.7907078       4.8727643       1.4174895
2.750       1.8221237       4.7112043       1.4438956
2.750       1.8535397       4.5949626       1.4823744
2.750       1.8849556       4.4693286       1.5164075
2.750       1.9163715       4.3541496       1.5524325
2.750       1.9477874       4.2457839       1.5894718
2.750       1.9792034       4.1190709       1.6178594
2.750       2.0106193       4.0512734       1.6682124
2.750       2.0734512       3.8095839       1.7203992
2.750       2.1362830       3.7246397       1.8396317
2.750       2.1991149       3.5524681       1.9140099
2.750       2.2619467       3.3772693       1.9800814
2.750       2.3247786       3.3054093       2.1039736
2.750       2.3876104       3.0924345       2.1323631
2.750       2.4504423       2.9729312       2.2160959
2.750       2.5132741       2.9030058       2.3347358
2.750       2.5761060       2.8058007       2.4300670
2.750       2.6389378       2.6832328       2.4981360
2.750       2.7017697       2.5978227       2.5955222
2.750       2.7646015       2.5530418       2.7329130
2.750       2.8274334       2.4535348       2.8095685
2.750       2.8902652       2.3960953       2.9308085
2.750       2.9530971       2.2868984       2.9836667
2.750       3.0159289       2.2678187       3.1516785
2.750       3.0787608       2.1598330       3.1931423
2.750       3.1415927       2.1419376       3.3645478
2.750       3.2044245       2.0786300       3.4649549
2.750       3.2672564       2.0128658       3.5565975
2.750       3.3300882       1.9430283       3.6351020
2.750       3.3929201       1.8871133       3.7341273
2.750       3.4557519       1.8362661       3.8391364
2.750       3.5185838       1.8119467       3.9987050
2.750       3.5814156       1.7635840       4.1042196
2.750       3.6442475       1.7220899       4.2223055
2.750       3.7070793       1.6747787       4.3223838
2.750       3.7699112       1.6515334       4.4828167
2.750       3.8327430       1.5983152       4.5589181
2.750       3.8955749       1.5609818       4.6750126
2.750       3.9584067       1.5210400       4.7793865
2.750       4.0212386       1.5013444       4.9457267
2.750       4.1469023       1.4336502       5.1794645
2.750       4.2725660       1.3975508       5.5220994
2.750       4.3982297       1.3119731       5.6549517
2.750       4.5238934       1.2914899       6.0575691
2.750       4.6495571       1.2206218       6.2156442
2.750       4.7752208       1.1854211       6.5391798
2.750       4.9008845       1.1487148       6.8502417
2.750       5.0265482       1.1039864       7.1030281
2.750       5.1522120       1.0594214       7.3404074
2.750       5.2778757       1.0140798       7.5530064
2.750       5.4035394      0.99275030       7.9349692
2.750       5.5292031      0.95536795       8.1814174
2.750       5.6548668      0.92761641       8.4977865
2.750       5.7805305      0.90578722       8.8633834
2.750       5.9061942      0.87465902       9.1291892
2.750       6.0318579      0.85642900       9.5217095
2.750       6.1575216      0.81902644       9.6869267
2.750       6.2831853      0.79074188       9.9367555
2.750       6.4088490      0.76878341       10.252137
2.750       6.5345127      0.75000864       10.601716
2.750       6.6601764      0.73341801       10.976883
2.750       6.7858401      0.71729105       11.354723
2.750       6.9115038      0.69641707       11.648160
2.750       7.0371675      0.68878001       12.160305
2.750       7.1628313      0.66316421       12.346546
2.750       7.2884950      0.64756581       12.701872
2.750       7.4141587      0.62341089       12.871533
2.750       7.5398224      0.61157507       13.280162
2.750       7.6654861      0.59827800       13.651878
2.750       7.7911498      0.58247387       13.955692
2.750       7.9168135      0.57570551       14.471778
2.750       8.0424772      0.55628914       14.660216
2.750       8.2938046      0.53839854       15.560929
2.750       8.5451320      0.50821815       16.064853
2.750       8.7964594      0.48883163       16.855951
2.750       9.0477868      0.47523956       17.832405
2.750       9.2991143      0.44808992       18.254090
2.750       9.5504417      0.44307011       19.552985
2.750       9.8017691      0.42695871       20.368992
2.750       10.053096      0.41456465       21.338411
2.750       10.304424      0.39829279       22.077193
2.750       10.555751      0.38099601       22.701687
2.750       10.807079      0.36372041       23.257492
2.750       11.058406      0.35778998       24.511847
2.750       11.309734      0.34929409       25.598742
2.750       11.561061      0.33728288       26.403264
2.750       11.812388      0.33396187       27.885620
2.750       12.063716      0.32117441       28.566332
2.750       12.315043      0.31763202       30.054005
2.750       12.566371      0.30296718       30.457583
2.750       12.817698      0.29563529       31.539633
2.750       13.069025      0.28683558       32.436418
2.750       13.320353      0.28127438       33.678103
2.750       13.571680      0.26694257       33.805624
2.750       13.823008      0.26384916       35.304789
2.750       14.074335      0.25403950       35.880226
2.750       14.325663      0.24864521       37.033479
2.750       14.576990      0.24237483       38.033066
2.750       14.828317      0.23966314       39.586501
2.750       15.079645      0.23130502       40.181731
2.750       15.330972      0.22927676       41.854232
2.750       15.582300      0.21837231       41.856457
2.750       15.833627      0.21961687       44.164893
2.750       16.084954      0.20918978       44.103212
2.750       16.587609      0.20338093       47.025332
2.750       17.090264      0.19732191       49.899005
2.750       17.592919      0.18468097       50.945532
2.750       18.095574      0.17135032       51.436599
2.750       18.598229      0.16613760       54.144323
2.750       19.100883      0.16225033       57.281742
2.750       19.603538      0.15520352       59.234566
2.750       20.106193      0.15226925       62.700645
2.750       20.608848      0.14138385       62.694754
2.750       21.111503      0.13892411       66.222462
2.750       21.614157      0.13658700       69.870615
2.750       22.116812      0.13264620       72.699710
2.750       22.619467      0.12635972       74.084273
2.750       23.122122      0.12113392       75.861093
2.750       23.624777      0.11695483       78.125275
2.750       24.127432      0.11403579       81.141811
2.750       24.630086      0.11121787       84.186535
2.750       25.132741      0.10651042       85.660761
2.750       25.635396      0.10420862       88.939358
2.750       26.138051      0.10074467       91.140615
2.750       26.640706     0.099708112       95.507599
2.750       27.143361     0.097745581       99.028052
2.750       27.646015     0.091801919       98.269705
2.750       28.148670     0.090830880       102.63073
2.750       28.651325     0.086552226       103.12943
2.750       29.153980     0.085418303       107.22961
2.750       29.656635     0.082876628       109.51357
2.750       30.159289     0.079265578       110.15855
2.750       30.661944     0.078956742       115.30776
2.750       31.164599     0.077098022       118.22195
2.750       31.667254     0.074829122       120.38493
2.750       32.169909     0.071203652       120.09420
2.750       33.175218     0.069517752       128.59005
2.750       34.180528     0.065859676       133.23740
2.750       35.185838     0.066087975       145.84663
2.750       36.191147     0.061834503       148.49375
2.750       37.196457     0.058203291       151.74784
2.750       38.201767     0.054684669       154.44939
2.750       39.207076     0.052621847       160.66812
2.750       40.212386     0.051986013       171.25226
2.750       41.217696     0.050009928       177.40980
2.750       42.223005     0.047236083       180.13229
2.750       43.228315     0.046857469       191.75823
2.750       44.233625     0.044412399       194.72965
2.750       45.238934     0.042716939       200.35837
2.750       46.244244     0.041548400       208.16016
2.750       47.249554     0.040668353       217.33015
2.750       48.254863     0.038488194       219.08924
2.750       49.260173     0.037053021       224.37873
2.750       50.265482     0.037630164       242.11179
2.750       51.270792     0.035542148       242.67442
2.750       52.276102     0.035368501       255.97438
2.750       53.281411     0.034186949       261.97374
2.750       54.286721     0.033702742       273.15951
2.750       55.292031     0.031900269       273.18209
2.750       56.297340     0.032367790       292.58155
2.750       57.302650     0.030273537       288.57423
2.750       58.307960     0.030142380       302.71318
2.750       59.313269     0.029449931       311.32223
2.750       60.318579     0.028960249       321.97775
2.750       61.323889     0.028071941       327.96822
2.750       62.329198     0.027333423       335.30413
2.750       63.334508     0.027137827       349.27422
2.750       64.339818     0.026791926       361.50446
2.750       66.350437     0.024969960       369.50427
2.750       68.361056     0.024889215       402.81696
2.750       70.371675     0.024128502       425.98498
