# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       498.63359   0.00013760428       864.26474
3.000       506.67606   8.4708672e-05       558.19931
3.000       514.71854   7.9601702e-05       549.92321
2.750     0.062831853       355.99424    0.0044735555
2.750      0.12566371       570.60471     0.057363442
2.750      0.18849556       220.23284     0.074723243
2.750      0.25132741       151.79004      0.12207680
2.750      0.31415927       98.201247      0.15425416
2.750      0.37699112       72.435758      0.19661499
2.750      0.43982297       53.345751      0.22993433
2.750      0.50265482       41.988068      0.27015046
2.750      0.56548668       32.466559      0.29742239
2.750      0.62831853       28.595071      0.35933626
2.750      0.69115038       24.700609      0.41313841
2.750      0.75398224       19.849641      0.43102877
2.750      0.81681409       18.027184      0.49770021
2.750      0.87964594       15.986363      0.55124370
2.750      0.94247780       14.088596      0.59751852
2.750       1.0053096       12.734682      0.65547770
2.750       1.0681415       11.267455      0.69563664
2.750       1.1309734       10.293928      0.75441186
2.750       1.1938052       9.6029721      0.82770644
2.750       1.2566371       8.6974385      0.87436189
2.750       1.3194689       8.0897380      0.94146072
2.750       1.3823008       7.5016199       1.0037671
2.750       1.4451326       6.8476776       1.0469759
2.750       1.5079645       6.4392073       1.1186031
2.750       1.5707963       6.0467759       1.1872817
2.750       1.6336282       5.6184369       1.2409247
2.750       1.6964600       5.3485538       1.3229320
2.750       1.7592919       5.1564808       1.4224512
2.750       1.8221237       4.6966883       1.4394467
2.750       1.8849556       4.5437502       1.5416581
2.750       1.9477874       4.2798231       1.6022149
2.750       2.0106193       4.1240249       1.6981697
2.750       2.0734512       3.8828818       1.7535003
2.750       2.1362830       3.7506060       1.8524567
2.750       2.1991149       3.5046536       1.8882483
2.750       2.2619467       3.3371096       1.9565360
2.750       2.3247786       3.3427093       2.1277159
2.750       2.3876104       3.1524656       2.1737571
2.750       2.4504423       3.1076139       2.3164917
2.750       2.5132741       2.9241087       2.3517077
2.750       2.5761060       2.8455788       2.4645183
2.750       2.6389378       2.7068746       2.5201470
2.750       2.7017697       2.6588300       2.6564754
2.750       2.7646015       2.6181253       2.8025820
2.750       2.8274334       2.5014906       2.8644832
2.750       2.8902652       2.4201871       2.9602766
2.750       2.9530971       2.3186425       3.0250825
2.750       3.0159289       2.2512514       3.1286542
2.750       3.0787608       2.1850963       3.2304921
2.750       3.1415927       2.1366364       3.3562206
2.750       3.2044245       2.0600252       3.4339418
2.750       3.2672564       2.0410170       3.6063387
2.750       3.3300882       1.9457661       3.6402239
2.750       3.3929201       1.8954019       3.7505284
2.750       3.4557519       1.8318762       3.8299583
2.750       3.5185838       1.8015798       3.9758268
2.750       3.5814156       1.7395270       4.0482341
2.750       3.6442475       1.7172659       4.2104779
2.750       3.7070793       1.6853644       4.3497042
2.750       3.7699112       1.6072200       4.3625352
2.750       3.8327430       1.5952351       4.5501329
2.750       3.8955749       1.5494505       4.6404772
2.750       3.9584067       1.5133463       4.7552115
2.750       4.0212386       1.5058212       4.9604741
2.750       4.1469023       1.4270459       5.1556047
2.750       4.2725660       1.3544374       5.3517465
2.750       4.3982297       1.3025048       5.6141409
2.750       4.5238934       1.2689309       5.9517587
2.750       4.6495571       1.2108438       6.1658527
2.750       4.7752208       1.1721727       6.4660972
2.750       4.9008845       1.1195037       6.6760443
2.750       5.0265482       1.0833807       6.9704518
2.750       5.1522120       1.0244718       7.0982523
2.750       5.2778757      0.99899556       7.4406569
2.750       5.4035394      0.95923747       7.6671040
2.750       5.5292031      0.94373724       8.0818163
2.750       5.6548668      0.90478193       8.2886025
2.750       5.7805305      0.89559145       8.7636149
2.750       5.9061942      0.84762272       8.8469997
2.750       6.0318579      0.82552628       9.1781355
2.750       6.1575216      0.78883722       9.3298677
2.750       6.2831853      0.76247413       9.5815325
2.750       6.4088490      0.75565928       10.077119
2.750       6.5345127      0.72577285       10.259132
2.750       6.6601764      0.70463806       10.546141
2.750       6.7858401      0.68605913       10.860321
2.750       6.9115038      0.67226828       11.244251
2.750       7.0371675      0.65666524       11.593324
2.750       7.1628313      0.62518388       11.639443
2.750       7.2884950      0.61468839       12.056988
2.750       7.4141587      0.60598029       12.511644
2.750       7.5398224      0.58725957       12.752159
2.750       7.6654861      0.57155285       13.042047
2.750       7.7911498      0.56257883       13.479020
2.750       7.9168135      0.55078068       13.845231
2.750       8.0424772      0.53207004       14.021955
2.750       8.2938046      0.51156537       14.785390
2.750       8.5451320      0.47948068       15.156457
2.750       8.7964594      0.45859469       15.813318
2.750       9.0477868      0.43960000       16.495103
2.750       9.2991143      0.42223554       17.200845
2.750       9.5504417      0.40220672       17.749656
2.750       9.8017691      0.38024367       18.140350
2.750       10.053096      0.36900260       18.993248
2.750       10.304424      0.35216977       19.520614
2.750       10.555751      0.33809092       20.145183
2.750       10.807079      0.32165505       20.567693
2.750       11.058406      0.31778986       21.771477
2.750       11.309734      0.30353665       22.245313
2.750       11.561061      0.29201329       22.859459
2.750       11.812388      0.27808619       23.220033
2.750       12.063716      0.26731924       23.776273
2.750       12.315043      0.25846613       24.455791
2.750       12.566371      0.24923599       25.055935
2.750       12.817698      0.24016244       25.621554
2.750       13.069025      0.23372913       26.430947
2.750       13.320353      0.22837660       27.344441
2.750       13.571680      0.21625302       27.386296
2.750       13.823008      0.21086701       28.215421
2.750       14.074335      0.20166503       28.482920
2.750       14.325663      0.19653243       29.271747
2.750       14.576990      0.18884903       29.633884
2.750       14.828317      0.18446764       30.469552
2.750       15.079645      0.18014005       31.293481
2.750       15.330972      0.17461588       31.875946
2.750       15.582300      0.16924190       32.439400
2.750       15.833627      0.16488194       33.157713
2.750       16.084954      0.16193937       34.141469
2.750       16.587609      0.15092236       34.895968
2.750       17.090264      0.14463323       36.575028
2.750       17.592919      0.13466317       37.147774
2.750       18.095574      0.12870170       38.634171
2.750       18.598229      0.12280733       40.022968
2.750       19.100883      0.11604007       40.967417
2.750       19.603538      0.11305893       43.149774
2.750       20.106193      0.10893431       44.856408
2.750       20.608848      0.10329218       45.803520
2.750       21.111503     0.098922634       47.154524
2.750       21.614157     0.094663020       48.424545
2.750       22.116812     0.090893677       49.816307
2.750       22.619467     0.087262245       51.161557
2.750       23.122122     0.084122912       52.682651
2.750       23.624777     0.080295997       53.637348
2.750       24.127432     0.078259777       55.685502
2.750       24.630086     0.075627676       57.246485
2.750       25.132741     0.071967796       57.879936
2.750       25.635396     0.069231408       59.087214
2.750       26.138051     0.065572457       59.321389
2.750       26.640706     0.064270283       61.562698
2.750       27.143361     0.062628586       63.450304
2.750       27.646015     0.060633746       64.905619
2.750       28.148670     0.058568210       66.176814
2.750       28.651325     0.056660180       67.512213
2.750       29.153980     0.054033517       67.830816
2.750       29.656635     0.053469939       70.655431
2.750       30.159289     0.051944814       72.189789
2.750       30.661944     0.049925993       72.911502
2.750       31.164599     0.047955960       73.535573
2.750       31.667254     0.047535452       76.474932
2.750       32.169909     0.045163305       76.173771
2.750       33.175218     0.042803941       79.176334
2.750       34.180528     0.040767830       82.475349
2.750       35.185838     0.039401680       86.953825
2.750       36.191147     0.036518248       87.697507
2.750       37.196457     0.035074989       91.447644
2.750       38.201767     0.033910740       95.776258
2.750       39.207076     0.032042231       97.833226
2.750       40.212386     0.030799916       101.46104
2.750       41.217696     0.029304413       103.95716
2.750       42.223005     0.028796925       109.81554
2.750       43.228315     0.026390291       107.99891
2.750       44.233625     0.024960586       109.44165
2.750       45.238934     0.024098809       113.03240
2.750       46.244244     0.023476492       117.61873
2.750       47.249554     0.022729987       121.46819
2.750       48.254863     0.022183971       126.27949
2.750       49.260173     0.020973931       127.00999
2.750       50.265482     0.019931391       128.23821
2.750       51.270792     0.019593552       133.78072
2.750       52.276102     0.018865603       136.53705
2.750       53.281411     0.018344168       140.57090
2.750       54.286721     0.017552844       142.26517
2.750       55.292031     0.017209168       147.37294
2.750       56.297340     0.016339475       147.69710
2.750       57.302650     0.015435260       147.13241
2.750       58.307960     0.015297556       153.62994
2.750       59.313269     0.014920202       157.72500
2.750       60.318579     0.014372867       159.79640
2.750       61.323889     0.013944202       162.91197
2.750       62.329198     0.013615918       167.02897
2.750       63.334508     0.013297045       171.13806
2.750       64.339818     0.012873451       173.70196
2.750       66.350437     0.012061799       178.48992
2.750       68.361056     0.011339210       183.51828
2.750       70.371675     0.010860325       191.73736
2.750       72.382295     0.010147904       194.95916
2.750       74.392914    0.0098513883       205.47662
2.750       76.403533    0.0091431917       206.58958
2.750       78.414153    0.0085802091       209.58080
2.750       80.424772    0.0084048286       221.49740
2.750       82.435391    0.0078700908       223.35265
2.750       84.446011    0.0075963630       231.74661
2.750       86.456630    0.0073434870       240.41828
2.750       88.467249    0.0069838582       244.97019
2.750       90.477868    0.0066560026       249.75306
2.750       92.488488    0.0062380886       250.02580
2.750       94.499107    0.0059531587       254.50765
2.750       96.509726    0.0058633523       267.01121
2.750       98.520346    0.0055630581       269.50178
2.750       100.53096    0.0053603142       275.90531
2.750       102.54158    0.0051402126       280.77046
2.750       104.55220    0.0049748497       288.03801
2.750       106.56282    0.0047591763       291.75560
2.750       108.57344    0.0046376909       300.70654
2.750       110.58406    0.0044867903       307.38568
2.750       112.59468    0.0042189849       305.09272
2.750       114.60530    0.0040765210       310.86659
2.750       116.61592    0.0039350917       316.15396
2.750       118.62654    0.0038910817       329.06840
2.750       120.63716    0.0036952490       328.66787
2.750       122.64778    0.0036201558       338.35809
2.750       124.65840    0.0033285970       326.66009
2.750       126.66902    0.0033300660       342.87379
2.750       128.67964    0.0032385351       349.58141
2.750       132.70087    0.0027744689       328.45167
2.750       136.72211    0.0026778060       346.70943
2.750       140.74335    0.0027310558       385.73096
2.750       144.76459    0.0024072181       369.97529
2.750       148.78583    0.0022214650       370.67597
2.750       152.80707    0.0022223360       401.70783
2.750       156.82831    0.0021000394       410.36570
2.750       160.84954    0.0019990339       421.45376
2.750       164.87078    0.0018833253       427.58917
2.750       168.89202    0.0016862480       411.54669
2.750       172.91326    0.0016486623       431.80420
2.750       176.93450    0.0016707714       468.84020
2.750       180.95574    0.0014366475       431.25838
2.750       184.97698    0.0014707375       471.58333
2.750       188.99821    0.0013435499       459.51231
2.750       193.01945    0.0013387410       487.71943
2.750       197.04069    0.0012365716       479.24465
2.750       201.06193    0.0011704058       481.94364
2.750       205.08317    0.0010859443       474.53456
2.750       209.10441   0.00099559080       461.14838
2.750       213.12565   0.00083871629       411.33198
2.750       217.14688   0.00092855544       481.65814
2.750       221.16812   0.00088509138       485.09407
2.750       225.18936   0.00092132039       532.99674
2.750       229.21060   0.00075746738       462.10247
2.750       233.23184   0.00085451627       549.22981
2.750       237.25308   0.00080880692       547.20578
2.750       241.27432   0.00070347272       500.55384
2.750       245.29555   0.00065694330       491.20998
2.750       249.31679   0.00066340965       520.84277
2.750       253.33803   0.00061818861       509.20473
2.750       257.35927   0.00062076604       536.06525
2.750       265.40175   0.00053706181       508.63455
2.750       273.44422   0.00046486688       481.50980
2.750       281.48670   0.00053374996       603.08950
2.750       289.52918   0.00039056965       480.22610
2.750       297.57166   0.00053643649       716.08283
2.750       305.61413   0.00032482403       469.71963
2.750       313.65661   0.00038356887       599.62116
2.750       321.69909   0.00031535991       531.89539
2.750       329.74156   0.00022854344       415.10705
2.750       337.78404   0.00036702191       716.60467
2.750       345.82652   0.00024958546       522.95512
2.750       353.86900   0.00024287114       545.22244
2.750       361.91147   0.00019586988       470.37580
2.750       369.95395   0.00023267161       596.83826
2.750       377.99643   0.00019478745       532.95963
2.750       386.03891   0.00018491978       538.94799
2.750       394.08138   0.00016006652       496.28198
2.750       402.12386   0.00018672910       615.12276
2.750       410.16634   0.00021359840       746.70370
2.750       418.20881   0.00016602751       615.21917
2.750       426.25129   0.00017325290       679.74792
2.750       434.29377   0.00017290913       717.52822
2.750       442.33625   0.00015737339       690.01596
2.750       450.37872   0.00012996781       601.50558
2.750       458.42120   3.1983435e-05       156.09516
2.750       466.46368   0.00014562762       748.80288
2.750       474.50615   8.4791806e-05       458.93343
2.750       482.54863   8.9587657e-05       509.96656
2.750       490.59111   0.00013555989       810.88726
2.750       498.63359   9.7150833e-05       610.18478
2.750       506.67606   0.00013667085       900.61113
2.750       514.71854   0.00013320375       920.22952
2.500     0.062831853       406.35614    0.0051064218
2.500      0.12566371       652.23911     0.065570227
2.500      0.18849556       251.76151     0.085420668
2.500      0.25132741       174.96708      0.14071687
2.500      0.31415927       113.89218      0.17890142
2.500      0.37699112       84.182766      0.22850032
2.500      0.43982297       62.230245      0.26822885
2.500      0.50265482       49.054491      0.31561570
2.500      0.56548668       38.299939      0.35086130
2.500      0.62831853       33.900747      0.42600935
2.500      0.69115038       29.453117      0.49262811
2.500      0.75398224       23.592361      0.51230077
2.500      0.81681409       21.603870      0.59644649
2.500      0.87964594       19.068704      0.65752935
2.500      0.94247780       16.967385      0.71961225
2.500       1.0053096       15.336218      0.78938356
2.500       1.0681415       13.670877      0.84402049
2.500       1.1309734       12.473779      0.91416673
2.500       1.1938052       11.754340       1.0131387
2.500       1.2566371       10.608699       1.0665027
2.500       1.3194689       9.9095408       1.1532442
2.500       1.3823008       9.2536132       1.2381956
2.500       1.4451326       8.4442589       1.2910852
2.500       1.5079645       7.9698325       1.3844994
2.500       1.5707963       7.4789775       1.4684938
2.500       1.6336282       6.9951045       1.5449845
2.500       1.6964600       6.6877665       1.6541781
2.500       1.7592919       6.4607875       1.7822533
2.500       1.8221237       5.9243275       1.8156951
2.500       1.8849556       5.7082412       1.9367606
2.500       1.9477874       5.3883591       2.0172117
2.500       2.0106193       5.2167333       2.1481195
2.500       2.0734512       4.8851942       2.2061423
2.500       2.1362830       4.7354985       2.3389036
2.500       2.1991149       4.4670037       2.4067463
2.500       2.2619467       4.2423670       2.4872853
2.500       2.3247786       4.2292365       2.6920121
2.500       2.3876104       3.9946482       2.7544772
2.500       2.4504423       3.9398840       2.9368862
2.500       2.5132741       3.7137983       2.9868138
2.500       2.5761060       3.6535961       3.1643314
2.500       2.6389378       3.4431624       3.2056436
2.500       2.7017697       3.3807908       3.3777969
2.500       2.7646015       3.3287693       3.5632935
2.500       2.8274334       3.1964460       3.6602839
2.500       2.8902652       3.1013342       3.7934287
2.500       2.9530971       2.9820248       3.8905830
2.500       3.0159289       2.8901875       4.0166094
2.500       3.0787608       2.8007433       4.1406775
2.500       3.1415927       2.7453093       4.3123217
2.500       3.2044245       2.6479109       4.4139130
2.500       3.2672564       2.6235576       4.6356485
2.500       3.3300882       2.5236246       4.7213069
2.500       3.3929201       2.4458568       4.8397416
2.500       3.4557519       2.3559746       4.9257066
2.500       3.5185838       2.3213667       5.1229215
2.500       3.5814156       2.2381720       5.2086825
2.500       3.6442475       2.2088124       5.4156759
2.500       3.7070793       2.1672111       5.5932871
2.500       3.7699112       2.0770065       5.6376936
2.500       3.8327430       2.0414731       5.8229496
2.500       3.8955749       1.9973211       5.9818129
2.500       3.9584067       1.9447165       6.1106556
