# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       160.84954   0.00034924942       73.631807
3.000       164.87078   0.00027983771       63.534204
3.000       168.89202   0.00022665165       55.316736
3.000       172.91326   0.00013339126       34.936752
3.000       176.93450   0.00013763268       38.621522
3.000       180.95574   2.6435775e-05       7.9355927
3.000       184.97698   5.7389064e-05       18.401466
3.000       188.99821   3.3634302e-05       11.503388
3.000       193.01945   5.3529164e-05       19.501318
3.000       197.04069   2.8616440e-05       11.090564
3.000       201.06193  -2.7039453e-05      -11.134166
3.000       205.08317   0.00010358857       45.266004
3.000       209.10441   1.0349828e-05       4.7939439
3.000       213.12565   8.5017616e-05       41.695225
3.000       217.14688   0.00014022131       72.735273
3.000       221.16812   4.6188946e-05       25.314882
3.000       225.18936  -3.2599187e-05      -18.859086
3.000       229.21060   2.2146237e-05       13.510589
3.000       233.23184   8.2374975e-05       52.945501
3.000       237.25308   8.7090233e-05       58.921700
3.000       241.27432   0.00010513661       74.809628
3.000       245.29555   9.9655153e-05       74.514202
3.000       249.31679   5.1832168e-05       40.693424
3.000       253.33803   2.0546065e-05       16.923886
3.000       257.35927   5.3222983e-05       45.960942
3.000       265.40175   8.9725527e-05       84.976259
3.000       273.44422   4.7745353e-05       49.454707
3.000       281.48670   0.00013759879       155.47426
3.000       289.52918  -6.5735369e-06      -8.0825124
3.000       297.57166   9.5068363e-05       126.90565
3.000       305.61413  -8.9322638e-06      -12.916716
3.000       313.65661   0.00018738938       292.93993
3.000       321.69909   2.1124096e-05       35.628528
3.000       329.74156   0.00015828795       287.50089
3.000       337.78404  -7.1479481e-05      -139.56259
3.000       345.82652  -4.0246830e-05      -84.328975
3.000       353.86900   2.2479141e-05       50.463516
3.000       361.91147  -1.7333430e-05      -41.625727
3.000       369.95395   7.9675158e-05       204.37897
3.000       377.99643  -6.7033729e-05      -183.41157
3.000       386.03891  -2.0704099e-05      -60.342018
3.000       394.08138   1.4108325e-05       43.742488
3.000       402.12386  -7.0551039e-05      -232.40914
3.000       410.16634  -8.9641461e-05      -313.37131
3.000       418.20881   5.5832089e-05       206.88723
3.000       426.25129  -3.0293626e-05      -118.85533
3.000       434.29377  -2.3778379e-05      -98.674130
3.000       442.33625  -5.8650700e-05      -257.15859
3.000       450.37872   0.00012477505       577.47291
3.000       458.42120  -3.6389734e-05      -177.60011
3.000       466.46368  -1.9859684e-05      -102.11654
3.000       474.50615   4.6936768e-06       25.404403
3.000       482.54863   1.5652855e-06       8.9101926
3.000       490.59111   1.9474088e-05       116.48940
3.000       498.63359  -0.00011715301      -735.81440
3.000       506.67606  -1.6683106e-05      -109.93559
3.000       514.71854   2.8613759e-05       197.67631
2.750     0.062831853       355.49685    0.0044673051
2.750      0.12566371       569.88887     0.057291478
2.750      0.18849556       220.00308     0.074645286
2.750      0.25132741       151.68404      0.12199154
2.750      0.31415927       98.170384      0.15420568
2.750      0.37699112       72.455353      0.19666818
2.750      0.43982297       53.400783      0.23017153
2.750      0.50265482       42.069231      0.27067267
2.750      0.56548668       32.562148      0.29829806
2.750      0.62831853       28.714578      0.36083803
2.750      0.69115038       24.839534      0.41546205
2.750      0.75398224       19.989754      0.43407128
2.750      0.81681409       18.178064      0.50186574
2.750      0.87964594       16.145662      0.55673668
2.750      0.94247780       14.256816      0.60465298
2.750       1.0053096       12.914389      0.66472757
2.750       1.0681415       11.454210      0.70716663
2.750       1.1309734       10.488906      0.76870124
2.750       1.1938052       9.8053651      0.84515125
2.750       1.2566371       8.9016447      0.89489094
2.750       1.3194689       8.3020040      0.96616363
2.750       1.3823008       7.7147755       1.0322888
2.750       1.4451326       7.0552279       1.0787093
2.750       1.5079645       6.6573005       1.1564896
2.750       1.5707963       6.2638078       1.2298958
2.750       1.6336282       5.8404786       1.2899662
2.750       1.6964600       5.5728116       1.3784008
2.750       1.7592919       5.3836981       1.4851306
2.750       1.8221237       4.9214217       1.5083233
2.750       1.8849556       4.7755010       1.6202893
2.750       1.9477874       4.5070432       1.6872781
2.750       2.0106193       4.3540452       1.7928862
2.750       2.0734512       4.1106136       1.8563435
2.750       2.1362830       3.9840159       1.9677398
2.750       2.1991149       3.7303924       2.0098725
2.750       2.2619467       3.5626572       2.0887738
2.750       2.3247786       3.5782512       2.2776441
2.750       2.3876104       3.3783728       2.3295295
2.750       2.4504423       3.3410375       2.4904913
2.750       2.5132741       3.1502323       2.5335672
2.750       2.5761060       3.0728058       2.6613166
2.750       2.6389378       2.9277853       2.7258187
2.750       2.7017697       2.8839027       2.8813488
2.750       2.7646015       2.8441369       3.0445169
2.750       2.8274334       2.7245849       3.1199508
2.750       2.8902652       2.6420379       3.2316357
2.750       2.9530971       2.5319739       3.3034114
2.750       3.0159289       2.4670257       3.4285244
2.750       3.0787608       2.3979492       3.5451783
2.750       3.1415927       2.3502012       3.6916875
2.750       3.2044245       2.2694435       3.7830299
2.750       3.2672564       2.2543895       3.9833535
2.750       3.3300882       2.1531175       4.0281461
2.750       3.3929201       2.0989843       4.1533673
2.750       3.4557519       2.0330556       4.2505702
2.750       3.5185838       2.0012497       4.4164694
2.750       3.5814156       1.9361013       4.5057025
2.750       3.6442475       1.9156566       4.6969021
2.750       3.7070793       1.8822579       4.8578605
2.750       3.7699112       1.7986746       4.8822073
2.750       3.8327430       1.7869635       5.0970049
2.750       3.8955749       1.7373357       5.2031778
2.750       3.9584067       1.6996954       5.3407543
