% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       217.14688     0.057792523       29978.005
0.000       221.16812     0.056503733       30968.131
0.000       225.18936     0.055687312       32215.889
0.000       229.21060     0.054184322       33055.825
0.000       233.23184     0.053497428       34384.813
0.000       237.25308     0.052247240       35348.352
0.000       241.27432     0.051219583       36445.136
0.000       245.29555     0.049173777       36768.241
0.000       249.31679     0.048890799       38384.156
0.000       253.33803     0.048029239       39561.900
0.000       257.35927     0.047046780       40627.454
0.000       265.40175     0.044387400       42037.927
0.000       273.44422     0.042720648       44250.110
0.000       281.48670     0.042879941       48450.480
0.000       289.52918     0.040008243       49192.258
0.000       297.57166     0.039184924       52307.499
0.000       305.61413     0.037618440       54399.054
0.000       313.65661     0.036439425       56964.607
0.000       321.69909     0.033905268       57185.632
0.000       329.74156     0.033495563       60838.518
0.000       337.78404     0.032676371       63800.116
0.000       345.82652     0.030918706       64783.806
0.000       353.86900     0.030711952       68945.388
0.000       361.91147     0.029771148       71494.544
0.000       369.95395     0.028424085       72912.126
0.000       377.99643     0.027807526       76084.414
0.000       386.03891     0.026581149       77470.658
0.000       394.08138     0.026227749       81318.439
0.000       402.12386     0.025412613       83714.196
0.000       410.16634     0.024523980       85731.664
0.000       418.20881     0.023421657       86789.548
0.000       426.25129     0.022590464       88632.405
0.000       434.29377     0.022606926       93812.901
0.000       442.33625     0.021505201       94291.239
0.000       450.37872     0.021149808       97883.679
0.000       458.42120     0.020281313       98982.951
0.000       466.46368     0.019772676       101669.15
0.000       474.50615     0.019181807       103821.03
0.000       482.54863     0.018760375       106791.09
0.000       490.59111     0.018194694       108836.37
0.000       498.63359     0.017959178       112797.97
0.000       506.67606     0.016972501       111842.60
0.000       514.71854     0.017025650       117620.60
0.125     0.062831853       2163.2902     0.027184706
0.125      0.12566371       3336.7498      0.33544668
0.125      0.18849556       1358.0525      0.46077636
0.125      0.25132741       1083.2774      0.87122335
0.125      0.31415927       778.59601       1.2230158
0.125      0.37699112       587.06376       1.5934883
0.125      0.43982297       484.93788       2.0902108
0.125      0.50265482       431.37970       2.7754891
0.125      0.56548668       362.55943       3.3213649
0.125      0.62831853       338.40191       4.2524839
0.125      0.69115038       302.75686       5.0638625
0.125      0.75398224       273.25091       5.9335584
0.125      0.81681409       263.70734       7.2805157
0.125      0.87964594       248.13687       8.5562856
0.125      0.94247780       230.81773       9.7893264
0.125       1.0053096       215.70230       11.102597
0.125       1.0681415       203.08127       12.537949
0.125       1.1309734       180.23599       13.208968
0.125       1.1938052       180.14295       15.527014
0.125       1.2566371       160.75936       16.161294
0.125       1.3194689       160.36625       18.662968
0.125       1.3823008       157.04234       21.013320
0.125       1.4451326       147.98583       22.626298
0.125       1.5079645       137.92316       23.959667
0.125       1.5707963       133.89491       26.290204
0.125       1.6336282       127.94123       28.257934
0.125       1.6964600       119.76017       29.621944
0.125       1.7592919       115.03703       31.733766
0.125       1.8221237       110.25492       33.791062
0.125       1.8849556       107.59986       36.507773
0.125       1.9477874       102.84725       38.502384
0.125       2.0106193       99.031272       40.778586
0.125       2.0734512       95.202097       42.993044
0.125       2.1362830       90.980527       44.936068
0.125       2.1991149       86.521490       46.616320
0.125       2.2619467       86.050921       50.451361
0.125       2.3247786       81.985477       52.185754
0.125       2.3876104       80.858651       55.755427
0.125       2.4504423       76.190271       56.794098
0.125       2.5132741       74.226339       59.696364
0.125       2.5761060       69.376834       60.086362
0.125       2.6389378       67.707173       63.036547
0.125       2.7017697       63.916185       63.859583
0.125       2.7646015       63.081581       67.525913
0.125       2.8274334       61.302888       70.198582
0.125       2.8902652       58.301334       71.311874
0.125       2.9530971       58.494050       76.315917
0.125       3.0159289       55.698636       77.406625
0.125       3.0787608       53.634715       79.294686
0.125       3.1415927       52.395528       82.302704
0.125       3.2044245       50.541600       84.249897
0.125       3.2672564       48.427790       85.568624
0.125       3.3300882       47.284829       88.462518
0.125       3.3929201       45.130943       89.302897
0.125       3.4557519       44.553861       93.150089
0.125       3.5185838       42.719205       94.275124
0.125       3.5814156       41.816975       97.316627
0.125       3.6442475       40.240045       98.662542
0.125       3.7070793       39.727632       102.53180
0.125       3.7699112       38.269743       103.87694
0.125       3.8327430       37.202372       106.11334
0.125       3.8955749       35.983273       107.76695
0.125       3.9584067       35.137926       110.40980
0.125       4.0212386       33.965530       111.88920
0.125       4.1469023       31.716017       114.58303
0.125       4.2725660       31.802812       125.66147
0.125       4.3982297       30.278720       130.50931
0.125       4.5238934       28.470525       133.53737
0.125       4.6495571       27.320309       139.12034
0.125       4.7752208       26.540737       146.40760
0.125       4.9008845       25.079414       149.55848
0.125       5.0265482       23.986266       154.32720
0.125       5.1522120       22.938943       158.93693
0.125       5.2778757       21.797181       162.34842
0.125       5.4035394       20.638548       164.96217
0.125       5.5292031       20.169335       172.72272
0.125       5.6548668       19.403103       177.74958
0.125       5.7805305       18.500796       181.03550
0.125       5.9061942       17.909460       186.92867
0.125       6.0318579       17.145938       190.62718
0.125       6.1575216       16.173763       191.29304
0.125       6.2831853       15.871143       199.44267
0.125       6.4088490       15.262544       203.53416
0.125       6.5345127       14.741720       208.38096
0.125       6.6601764       14.275615       213.65954
0.125       6.7858401       13.793311       218.34822
0.125       6.9115038       13.216160       221.05137
0.125       7.0371675       12.653833       223.40146
0.125       7.1628313       12.195384       227.04915
0.125       7.2884950       11.835277       232.14657
0.125       7.4141587       11.526530       237.98767
0.125       7.5398224       11.172271       242.60238
0.125       7.6654861       10.803074       246.51123
0.125       7.7911498       10.550346       252.77937
0.125       7.9168135       10.172250       255.70460
0.125       8.0424772       9.8434729       259.41084
0.125       8.2938046       9.0624018       261.92381
0.125       8.5451320       8.7504400       276.60274
0.125       8.7964594       8.1215130       280.04699
0.125       9.0477868       7.9693775       299.03481
0.125       9.2991143       7.5397188       307.14975
0.125       9.5504417       6.9764759       307.87663
0.125       9.8017691       6.6585959       317.66277
0.125       10.053096       6.4292436       330.92509
0.125       10.304424       6.0849956       337.28861
0.125       10.555751       5.8266471       347.18138
0.125       10.807079       5.5359247       353.98543
0.125       11.058406       5.2580485       360.22384
0.125       11.309734       5.1582470       378.03283
0.125       11.561061       4.8644074       380.79679
0.125       11.812388       4.6443301       387.79883
0.125       12.063716       4.4653087       397.15958
0.125       12.315043       4.2789664       404.87126
0.125       12.566371       4.1618335       418.39314
0.125       12.817698       3.9663155       423.14345
0.125       13.069025       3.8155940       431.48135
0.125       13.320353       3.7168820       445.03710
0.125       13.571680       3.5856425       454.08599
0.125       13.823008       3.4510163       461.76915
0.125       14.074335       3.2836094       463.77294
0.125       14.325663       3.1958529       475.99368
0.125       14.576990       3.0665655       481.20050
0.125       14.828317       2.9359406       484.94572
0.125       15.079645       2.8608477       496.97934
0.125       15.330972       2.7949257       510.21076
0.125       15.582300       2.7008393       517.68269
0.125       15.833627       2.5964584       522.14709
0.125       16.084954       2.5181833       530.90536
0.125       16.587609       2.3649825       546.82653
0.125       17.090264       2.2449877       567.71522
0.125       17.592919       2.1316398       588.02770
0.125       18.095574       2.0161333       605.21066
0.125       18.598229       1.9352397       630.69554
0.125       19.100883       1.7698210       624.82726
0.125       19.603538       1.7032695       650.06536
0.125       20.106193       1.6635535       685.00948
0.125       20.608848       1.5635240       693.32354
0.125       21.111503       1.4950552       712.66417
0.125       21.614157       1.4249937       728.95065
0.125       22.116812       1.3838309       758.43941
0.125       22.619467       1.3319287       780.90524
0.125       23.122122       1.2810972       802.29742
0.125       23.624777       1.2322676       823.14892
0.125       24.127432       1.1915457       847.84067
0.125       24.630086       1.1596078       877.76690
0.125       25.132741       1.0889636       875.79649
0.125       25.635396       1.0492631       895.51890
0.125       26.138051       1.0170311       920.07678
0.125       26.640706      0.98417093       942.70968
0.125       27.143361      0.95897542       971.55766
0.125       27.646015      0.91861392       983.33369
0.125       28.148670      0.89424170       1010.4128
0.125       28.651325      0.86684279       1032.8678
0.125       29.153980      0.83910979       1053.3740
0.125       29.656635      0.81399836       1075.6213
0.125       30.159289      0.78912620       1096.6803
0.125       30.661944      0.76801729       1121.6060
0.125       31.164599      0.74497518       1142.3435
0.125       31.667254      0.71872306       1156.2801
0.125       32.169909      0.70900278       1195.8252
0.125       33.175218      0.66499832       1230.0767
0.125       34.180528      0.63054460       1275.6231
0.125       35.185838      0.60218712       1328.9401
0.125       36.191147      0.58153253       1396.5334
0.125       37.196457      0.55771280       1454.0709
0.125       38.201767      0.52996240       1496.8065
0.125       39.207076      0.50692462       1547.7721
0.125       40.212386      0.48408877       1594.6846
0.125       41.217696      0.46138576       1636.7621
0.125       42.223005      0.45338531       1728.9607
0.125       43.228315      0.42921126       1756.4924
0.125       44.233625      0.40983874       1796.9701
0.125       45.238934      0.40068147       1879.3454
0.125       46.244244      0.38079324       1907.7987
0.125       47.249554      0.36758808       1964.3768
0.125       48.254863      0.35545940       2023.4083
0.125       49.260173      0.34942186       2115.9633
0.125       50.265482      0.33614932       2162.7786
0.125       51.270792      0.33065734       2257.6599
0.125       52.276102      0.31351707       2269.0341
0.125       53.281411      0.30868757       2365.4652
0.125       54.286721      0.29903610       2423.6769
0.125       55.292031      0.29025545       2485.6402
0.125       56.297340      0.28460894       2572.6602
0.125       57.302650      0.27288639       2601.2150
0.125       58.307960      0.26729685       2684.4025
0.125       59.313269      0.25998417       2748.3546
0.125       60.318579      0.25498248       2834.8749
0.125       61.323889      0.24910293       2910.3027
0.125       62.329198      0.24256047       2975.5339
0.125       63.334508      0.23764166       3058.5391
0.125       64.339818      0.23391383       3156.2081
0.125       66.350437      0.22437617       3320.3079
0.125       68.361056      0.21270624       3442.5224
0.125       70.371675      0.20444220       3609.3955
0.125       72.382295      0.19642904       3773.7489
0.125       74.392914      0.19029473       3969.0972
0.125       76.403533      0.18365662       4149.7045
0.125       78.414153      0.17412361       4253.1556
0.125       80.424772      0.16703552       4401.9855
0.125       82.435391      0.16712805       4743.0828
0.125       84.446011      0.15917090       4855.9180
0.125       86.456630      0.15076662       4935.9454
0.125       88.467249      0.14818470       5197.8195
0.125       90.477868      0.14421955       5411.5475
0.125       92.488488      0.14047455       5630.2923
0.125       94.499107      0.13537932       5787.6957
0.125       96.509726      0.13084880       5958.7239
0.125       98.520346      0.12771829       6187.2994
0.125       100.53096      0.12556328       6462.9746
0.125       102.54158      0.12295291       6715.9760
0.125       104.55220      0.11895278       6887.2274
0.125       106.56282      0.11568293       7091.8035
0.125       108.57344      0.11202673       7263.7810
0.125       110.58406      0.11255009       7710.6983
0.125       112.59468      0.10822243       7826.0237
0.125       114.60530      0.10655739       8125.8341
0.125       116.61592      0.10248849       8234.1522
0.125       118.62654      0.10099574       8541.2001
0.125       120.63716     0.099314974       8833.4079
0.125       122.64778     0.097038815       9069.7390
0.125       124.65840     0.094323636       9256.6832
0.125       126.66902     0.093723001       9650.0071
0.125       128.67964     0.090742366       9795.1213
0.125       132.70087     0.087696406       10381.818
0.125       136.72211     0.083980037       10873.331
0.125       140.74335     0.082085607       11593.670
0.125       144.76459     0.078123032       12007.052
0.125       148.78583     0.075981351       12678.328
0.125       152.80707     0.073516713       13288.827
0.125       156.82831     0.072216737       14111.769
0.125       160.84954     0.068300621       14399.732
0.125       164.87078     0.066219180       15034.367
0.125       168.89202     0.064652779       15779.195
0.125       172.91326     0.062596345       16394.725
0.125       176.93450     0.061281693       17196.441
0.125       180.95574     0.059511255       17864.318
0.125       184.97698     0.058957869       18904.494
0.125       188.99821     0.056836495       19438.853
0.125       193.01945     0.055074476       20064.294
0.125       197.04069     0.054280772       21037.011
0.125       201.06193     0.051322628       21133.366
0.125       205.08317     0.051351375       22439.459
0.125       209.10441     0.049824251       23078.129
0.125       213.12565     0.048084908       23582.301
0.125       217.14688     0.047808775       24799.258
0.125       221.16812     0.046931457       25721.832
0.125       225.18936     0.046151500       26699.289
0.125       229.21060     0.043525601       26553.338
0.125       233.23184     0.043170230       27747.134
0.125       237.25308     0.041591853       28139.352
0.125       241.27432     0.041359030       29428.890
0.125       245.29555     0.040739399       30461.684
0.125       249.31679     0.039741789       31201.270
0.125       253.33803     0.038851792       32002.396
0.125       257.35927     0.038259633       33039.275
0.125       265.40175     0.035941623       34039.195
0.125       273.44422     0.034973239       36225.333
0.125       281.48670     0.033868428       38268.280
0.125       289.52918     0.032595700       40078.143
0.125       297.57166     0.031814665       42469.026
0.125       305.61413     0.031180888       45089.876
0.125       313.65661     0.029871419       46697.050
0.125       321.69909     0.028761029       48509.207
0.125       329.74156     0.027323819       49628.683
0.125       337.78404     0.026590337       51917.228
0.125       345.82652     0.025607495       53655.251
0.125       353.86900     0.024388150       54749.058
0.125       361.91147     0.024308167       58375.355
0.125       369.95395     0.022754735       58369.376
0.125       377.99643     0.022389013       61258.773
0.125       386.03891     0.021698761       63240.957
0.125       394.08138     0.020548709       63710.728
0.125       402.12386     0.020113063       66256.426
0.125       410.16634     0.019748962       69039.013
0.125       418.20881     0.018882167       69968.349
0.125       426.25129     0.018886665       74100.759
0.125       434.29377     0.017722808       73545.072
0.125       442.33625     0.017110367       75021.744
0.125       450.37872     0.017049644       78907.660
0.125       458.42120     0.016252243       79319.075
0.125       466.46368     0.015757643       81024.248
0.125       474.50615     0.015441789       83578.276
0.125       482.54863     0.014989080       85323.470
0.125       490.59111     0.014284978       85449.368
0.125       498.63359     0.014215708       89285.991
0.125       506.67606     0.013690670       90216.530
0.125       514.71854     0.013366674       92342.800
0.250     0.062831853       1937.4428     0.024346625
0.250      0.12566371       2994.6150      0.30105153
0.250      0.18849556       1204.7965      0.40877781
0.250      0.25132741       949.78443      0.76386196
0.250      0.31415927       678.74099       1.0661639
0.250      0.37699112       511.57721       1.3885925
0.250      0.43982297       418.09563       1.8021030
0.250      0.50265482       367.40759       2.3638938
0.250      0.56548668       307.45602       2.8165690
0.250      0.62831853       284.17067       3.5709940
0.250      0.69115038       255.34471       4.2708546
0.250      0.75398224       230.82019       5.0121885
0.250      0.81681409       219.62087       6.0633625
0.250      0.87964594       205.87951       7.0991623
0.250      0.94247780       190.98253       8.0998559
0.250       1.0053096       176.88490       9.1045937
0.250       1.0681415       165.86135       10.240044
0.250       1.1309734       147.11925       10.781939
0.250       1.1938052       148.69798       12.816686
0.250       1.2566371       133.10937       13.381613
0.250       1.3194689       132.31961       15.398980
0.250       1.3823008       128.97066       17.257140
0.250       1.4451326       122.56364       18.739372
0.250       1.5079645       112.98851       19.628083
0.250       1.5707963       109.55663       21.511394
0.250       1.6336282       104.81549       23.150234
0.250       1.6964600       97.465379       24.107464
0.250       1.7592919       94.740512       26.134830
0.250       1.8221237       89.739163       27.503368
0.250       1.8849556       88.111399       29.895493
0.250       1.9477874       84.712688       31.713444
0.250       2.0106193       81.146333       33.414018
0.250       2.0734512       78.713744       35.546943
0.250       2.1362830       74.757471       36.923360
0.250       2.1991149       71.793561       38.681160
0.250       2.2619467       70.078932       41.087038
0.250       2.3247786       66.824670       42.535531
0.250       2.3876104       64.648813       44.578064
0.250       2.4504423       61.782895       46.054486
0.250       2.5132741       59.802918       48.096360
0.250       2.5761060       56.359952       48.812612
0.250       2.6389378       54.895254       51.108429
0.250       2.7017697       52.202027       52.155799
0.250       2.7646015       51.966594       55.627834
0.250       2.8274334       50.090637       57.359316
0.250       2.8902652       47.787581       58.451869
0.250       2.9530971       47.316236       61.732466
0.250       3.0159289       45.568558       63.328450
0.250       3.0787608       43.293876       64.006572
0.250       3.1415927       42.333969       66.498042
0.250       3.2044245       40.597320       67.673362
0.250       3.2672564       39.137018       69.152458
0.250       3.3300882       38.350600       71.747972
0.250       3.3929201       36.818434       72.854513
0.250       3.4557519       36.373279       76.046703
0.250       3.5185838       34.976030       77.187053
0.250       3.5814156       33.953355       79.016379
0.250       3.6442475       32.740947       80.275880
0.250       3.7070793       32.295517       83.350486
0.250       3.7699112       31.063048       84.315550
0.250       3.8327430       30.126381       85.930300
0.250       3.8955749       29.564146       88.542192
0.250       3.9584067       28.917012       90.862551
0.250       4.0212386       28.153323       92.742639
0.250       4.1469023       26.210120       94.691431
0.250       4.2725660       25.469281       100.63598
0.250       4.3982297       24.439785       105.34195
0.250       4.5238934       22.789054       106.88916
0.250       4.6495571       21.709004       110.54648
0.250       4.7752208       20.854614       115.04104
0.250       4.9008845       20.043784       119.52903
0.250       5.0265482       19.059557       122.62884
0.250       5.1522120       17.867606       123.79919
0.250       5.2778757       17.202738       128.12837
0.250       5.4035394       16.482897       131.74640
0.250       5.5292031       15.881221       136.00089
0.250       5.6548668       15.047917       137.85222
0.250       5.7805305       14.335108       140.27307
0.250       5.9061942       13.923792       145.32856
0.250       6.0318579       13.426085       149.27014
0.250       6.1575216       12.751764       150.81980
0.250       6.2831853       12.299839       154.56433
0.250       6.4088490       11.722616       156.32733
0.250       6.5345127       11.432399       161.60220
0.250       6.6601764       11.042745       165.27399
0.250       6.7858401       10.713297       169.59157
0.250       6.9115038       10.321407       172.63419
0.250       7.0371675       10.068164       177.75188
0.250       7.1628313       9.5780710       178.32099
0.250       7.2884950       9.2964405       182.34780
0.250       7.4141587       9.0759967       187.39164
0.250       7.5398224       8.7130157       189.20042
0.250       7.6654861       8.4992554       193.94127
0.250       7.7911498       8.1689181       195.72192
0.250       7.9168135       7.9008895       198.60834
0.250       8.0424772       7.7913124       205.32905
0.250       8.2938046       7.1697690       207.22246
0.250       8.5451320       6.9674576       220.24240
0.250       8.7964594       6.5576399       226.12133
0.250       9.0477868       6.1595586       231.12500
0.250       9.2991143       5.8114980       236.74625
0.250       9.5504417       5.5432393       244.62692
0.250       9.8017691       5.3002558       252.86021
0.250       10.053096       4.9576528       255.17958
0.250       10.304424       4.7141942       261.30570
0.250       10.555751       4.5780321       272.78252
