# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       108.57344     0.012771739       828.11591
3.000       110.58406     0.012106873       829.43019
3.000       112.59468     0.012312272       890.35272
3.000       114.60530     0.013048580       995.05623
3.000       116.61592     0.012739563       1023.5247
3.000       118.62654     0.012334563       1043.1328
3.000       120.63716     0.012156916       1081.2770
3.000       122.64778     0.011812179       1104.0261
3.000       124.65840     0.011899930       1167.8290
3.000       126.66902     0.011404488       1174.2410
3.000       128.67964     0.011259086       1215.3542
3.000       132.70087     0.011733570       1389.0625
3.000       136.72211     0.010969992       1420.3418
3.000       140.74335     0.010927724       1543.4182
3.000       144.76459     0.010640007       1635.3067
3.000       148.78583     0.010594832       1767.8647
3.000       152.80707    0.0095896415       1733.4166
3.000       156.82831    0.0099594257       1946.1571
3.000       160.84954    0.0089018862       1876.7732
3.000       164.87078    0.0091395764       2075.0445
3.000       168.89202    0.0093526447       2282.6120
3.000       172.91326    0.0083999537       2200.0474
3.000       176.93450    0.0083452182       2341.7769
3.000       180.95574    0.0090866419       2727.6632
3.000       184.97698    0.0075252507       2412.9274
3.000       188.99821    0.0081662978       2792.9848
3.000       193.01945    0.0078029314       2842.7017
3.000       197.04069    0.0071587746       2774.4488
3.000       201.06193    0.0072446218       2983.1529
3.000       205.08317    0.0073167095       3197.2465
3.000       209.10441    0.0072399537       3353.4791
3.000       213.12565    0.0068383472       3353.7335
3.000       217.14688    0.0061688596       3199.8967
3.000       221.16812    0.0067036578       3674.0892
3.000       225.18936    0.0064768509       3746.9489
3.000       229.21060    0.0066103308       4032.7152
3.000       233.23184    0.0064320292       4134.1076
3.000       237.25308    0.0058211312       3938.3400
3.000       241.27432    0.0063542007       4521.3119
3.000       245.29555    0.0053007646       3963.4904
3.000       249.31679    0.0057480180       4512.7676
3.000       253.33803    0.0053658758       4419.8960
3.000       257.35927    0.0054483003       4704.9038
3.000       265.40175    0.0051259454       4854.6237
3.000       273.44422    0.0047757174       4946.6952
3.000       281.48670    0.0040731710       4602.3172
3.000       289.52918    0.0038148129       4690.5149
3.000       297.57166    0.0040369998       5388.9441
3.000       305.61413    0.0043087424       6230.7610
3.000       313.65661    0.0039872915       6233.2075
3.000       321.69909    0.0034155430       5760.7563
3.000       329.74156    0.0032510362       5904.9081
3.000       337.78404    0.0038488275       7514.7770
3.000       345.82652    0.0035604534       7460.1995
3.000       353.86900    0.0034316208       7703.6598
3.000       361.91147    0.0031796286       7635.7854
3.000       369.95395    0.0033787625       8667.0426
